NU_ANO_CENSO|ID_MATRICULA|CO_PESSOA_FISICA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2017|267229028|113303792843|28|1|2000|17|17|540|0|0|0|0|5|2|3|1|76|35|3506003|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229036|111419697934|9|12|1998|18|19|540|44|0|0|0|5|2|3|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229004|113688376543|2|9|1999|17|18|540|44|0|0|0|5|2|1|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229191|113684746915|23|1|2001|16|16|540|0|0|0|0|5|2|1|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229019|110888995287|23|9|2000|16|17|540|44|0|0|0|5|2|1|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229011|111492970505|27|3|2000|17|17|540|0|0|0|0|5|1|2|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229090|111574741879|21|2|1999|18|18|540|0|0|0|0|5|1|1|1|76|35|3523909|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229069|114984328672|7|2|2000|17|17|540|0|0|0|0|5|2|3|1|76|35|3543907|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229157|113763866743|5|4|1998|19|19|540|0|0|0|0|5|1|1|1|76|35|3550308|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
2017|267229129|113310140341|21|8|1999|17|18|540|44|0|0|0|5|2|0|1|76|35|3526902|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|27|11122645|0|0|0|35021748|3|3506|35026|35|3543907|354390705|2|1|0|0|0|0|0|0|0|0|1|0|0
