NU_ANO_CENSO|ID_TURMA|NO_TURMA|TX_HR_INICIAL|TX_MI_INICIAL|NU_DURACAO_TURMA|NU_MATRICULAS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|CO_CURSO_EDUC_PROFISSIONAL|TP_TIPO_TURMA|IN_MAIS_EDUCACAO|NU_DIAS_ATIVIDADE|IN_DIA_SEMANA_DOMINGO|IN_DIA_SEMANA_SEGUNDA|IN_DIA_SEMANA_TERCA|IN_DIA_SEMANA_QUARTA|IN_DIA_SEMANA_QUINTA|IN_DIA_SEMANA_SEXTA|IN_DIA_SEMANA_SABADO|CO_TIPO_ATIVIDADE_1|CO_TIPO_ATIVIDADE_2|CO_TIPO_ATIVIDADE_3|CO_TIPO_ATIVIDADE_4|CO_TIPO_ATIVIDADE_5|CO_TIPO_ATIVIDADE_6|IN_BRAILLE|IN_RECURSOS_BAIXA_VISAO|IN_PROCESSOS_MENTAIS|IN_ORIENTACAO_MOBILIDADE|IN_SINAIS|IN_COMUNICACAO_ALT_AUMENT|IN_ENRIQ_CURRICULAR|IN_SOROBAN|IN_INFORMATICA_ACESSIVEL|IN_PORT_ESCRITA|IN_AUTONOMIA_ESCOLAR|IN_DISC_QUIMICA|IN_DISC_FISICA|IN_DISC_MATEMATICA|IN_DISC_BIOLOGIA|IN_DISC_CIENCIAS|IN_DISC_LINGUA_PORTUGUESA|IN_DISC_LINGUA_INGLES|IN_DISC_LINGUA_ESPANHOL|IN_DISC_LINGUA_FRANCES|IN_DISC_LINGUA_OUTRA|IN_DISC_LINGUA_INDIGENA|IN_DISC_ARTES|IN_DISC_EDUCACAO_FISICA|IN_DISC_HISTORIA|IN_DISC_GEOGRAFIA|IN_DISC_FILOSOFIA|IN_DISC_ENSINO_RELIGIOSO|IN_DISC_ESTUDOS_SOCIAIS|IN_DISC_SOCIOLOGIA|IN_DISC_EST_SOCIAIS_SOCIOLOGIA|IN_DISC_INFORMATICA_COMPUTACAO|IN_DISC_PROFISSIONALIZANTE|IN_DISC_ATENDIMENTO_ESPECIAIS|IN_DISC_DIVER_SOCIO_CULTURAL|IN_DISC_LIBRAS|IN_DISC_PEDAGOGICAS|IN_DISC_OUTRAS|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2017|11122916|A00601213032675|7|0|270|21|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122917|A00602213032691|7|30|240|15|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122918|B00602213032709|7|30|240|15|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122919|A00606213032659|13|0|240|16|1|0|1|0|0|1||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122920|B00601213032683|13|0|240|17|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122921|C00602213032717|13|0|240|21|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122922|A02601213032725|13|0|240|20|1|||||||4|0|5|0|1|1|1|1|1|0|12003|12007|21001|29999|13108|11011|||||||||||||||||||||||||||||||||||||||35061402|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122923|A00607213731490|7|30|240|24|1|0|1|0|0|1||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122924|B00607213731508|7|30|240|25|1|0|1|0|0|1||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122925|C00607213731516|7|30|240|25|1|0|1|0|0|1||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122926|A00601213731540|7|30|240|23|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122927|B00601213731557|7|30|240|24|1|0|1|0|0|2||0||5|0|1|1|1|1|1|0|||||||||||||||||||||||||||||||||||||||||||||35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
2017|11122951|C01401212846927|13|0|270|25|1|0|1|0|0|14||0|1|5|0|1|1|1|1|1|0||||||||||||||||||||1||0|1|0|0|0|0|0|1|1|0|0|0|0|0||0|0||||0||1|35061414|3|3506|35026|35|3543907|354390705|3|1|||||||||1|0|0
